class_fqn,param_precision,param_recall,return_precision,return_recall,throws_precision,throws_recall,overall_precision,overall_recall,overall_f1
ArrayStack,,,1.0,0.4,1.0,0.75,1.0,0.5555555555555556,
BagUtils,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
BoundedMap,,,,,,,,,
ClosureUtils,1.0,1.0,,,0.8125,0.5652173913043478,0.875,0.6774193548387096,
CollectionUtils,1.0,1.0,0.42857142857142855,0.25,1.0,0.9354838709677419,0.9565217391304348,0.8888888888888888,
FactoryUtils,,,,,1.0,1.0,1.0,1.0,
FluentIterable,1.0,1.0,,0.0,1.0,0.8666666666666667,1.0,0.8461538461538461,
PredicateUtils,1.0,1.0,0.0,,1.0,0.8620689655172413,0.9056603773584906,0.9230769230769231,
QueueUtils,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
CollectionBag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
SynchronizedBag,1.0,1.0,,,1.0,1.0,1.0,1.0,
FixedOrderComparator,,,,0.0,1.0,0.5714285714285714,1.0,0.5,
AllPredicate,1.0,1.0,,,1.0,0.75,1.0,0.8571428571428571,
AndPredicate,1.0,1.0,0.0,,1.0,1.0,0.8333333333333334,1.0,
AnyPredicate,1.0,1.0,,,1.0,0.75,1.0,0.8571428571428571,
IfClosure,1.0,1.0,,,1.0,1.0,1.0,1.0,
DefaultMapEntry,1.0,1.0,,,1.0,1.0,1.0,1.0,
HashedMap,,,,,1.0,1.0,1.0,1.0,
LRUMap,,,1.0,1.0,0.7222222222222222,0.7222222222222222,0.7368421052631579,0.7368421052631579,
LazyMap,1.0,1.0,,,1.0,1.0,1.0,1.0,
KeyAnalyzer,1.0,1.0,0.0,,,,0.5,1.0,
